rank,name,slug,active_installs,rating_pct,rating_5star,num_ratings,editor_support,last_updated,requires_wp,tested_up_to,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
1,Hostinger Tools,hostinger,3000000,60,3.0,26,Editor-agnostic,2026-03-20 8:35am GMT,5.5,6.9.4,https://hostinger.com,,,https://wordpress.org/plugins/hostinger/,1,0,7.3,High,2024-01-11,CWE-862,"hostinger, https, maintenance, security, tools"
2,Image Optimizer – Optimize Images and Convert to WebP or AVIF,image-optimization,1000000,32,1.6,72,Editor-agnostic,2026-02-17 1:59pm GMT,6.6,6.9.4,https://go.elementor.com/wp-repo-description-tab-io-product-page/,,,https://wordpress.org/plugins/image-optimization/,1,1,,,2026-02-19,,"convert AVIF, convert webp, image compression, image optimization, performance"
3,Google for WooCommerce,google-listings-and-ads,900000,54,2.7,259,Editor-agnostic,2026-03-18 6:08pm GMT,6.6,6.9.4,,https://github.com/woocommerce/google-listings-and-ads,official,https://wordpress.org/plugins/google-listings-and-ads/,1,0,5.3,Medium,2024-11-18,CWE-862,"ads, google, listings, product feed, woocommerce"
4,WooCommerce PayPal Payments,woocommerce-paypal-payments,800000,54,2.7,532,Editor-agnostic,2026-03-05 3:21pm GMT,6.5,6.9.4,https://woocommerce.com/products/woocommerce-paypal-payments/,https://github.com/woocommerce/woocommerce-paypal-payments,official,https://wordpress.org/plugins/woocommerce-paypal-payments/,1,0,4.3,Medium,2023-06-22,CWE-352,"credit card, ecommerce, payments, paypal, woocommerce"
5,WooCommerce Tax (formerly WooCommerce Shipping & Tax),woocommerce-services,600000,40,2.0,105,Editor-agnostic,2026-03-10 8:22am GMT,6.7,6.9.4,https://woocommerce.com/,https://github.com/Automattic/woocommerce-services,official,https://wordpress.org/plugins/woocommerce-services/,2,0,,,2023-05-24,,"GST, payment, tax, vat, woocommerce"
6,Meta for WooCommerce,facebook-for-woocommerce,500000,44,2.2,474,Editor-agnostic,2026-03-26 3:38pm GMT,5.6,6.9.4,https://github.com/woocommerce/facebook-for-woocommerce/,https://github.com/woocommerce/facebook-for-woocommerce,official,https://wordpress.org/plugins/facebook-for-woocommerce/,4,0,,,2019-08-30,CWE-352,"Conversions API, catalog sync, facebook, meta, whatsapp"
7,Ally – Web Accessibility & Usability,pojo-accessibility,500000,58,2.9,152,Editor-agnostic,2026-02-23 10:06am GMT,6.6,6.9.4,https://elementor.com/,https://github.com/pojome/one-click-accessibility,official,https://wordpress.org/plugins/pojo-accessibility/,3,1,5.9,Medium,2026-02-19,CWE-352; CWE-79,"Accessibility statement, a11y, accessibility, wcag, web accessibility"
8,Meta pixel for WordPress,official-facebook-pixel,400000,54,2.7,164,Editor-agnostic,2026-03-24 2:18pm GMT,5.7,6.8.5,https://www.facebook.com/business/help/881403525362441,https://github.com/facebookincubator/Facebook-Pixel-for-WordPress,official,https://wordpress.org/plugins/official-facebook-pixel/,4,0,,,2021-04-12,CWE-352; CWE-502,"Conversions API, facebook, meta, meta ads, pixel"
9,WooCommerce Legacy REST API,woocommerce-legacy-rest-api,400000,30,1.5,28,Editor-agnostic,2025-01-23 6:59pm GMT,6.2,,https://github.com/woocommerce/woocommerce-legacy-rest-api,https://github.com/woocommerce/woocommerce-legacy-rest-api,official,https://wordpress.org/plugins/woocommerce-legacy-rest-api/,0,0,,,,,"rest-api, woo, woocommerce"
10,Gutenberg,gutenberg,300000,42,2.1,3863,Block-only,2026-03-26 4:48pm GMT,6.8,6.9.4,https://github.com/WordPress/gutenberg,https://github.com/WordPress/gutenberg,official,https://wordpress.org/plugins/gutenberg/,12,1,6.5,Medium,2025-10-31,CWE-79,
