rank,name,slug,active_installs,rating_pct,rating_5star,editor_support,last_updated,requires_wp,tested_up_to,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
1,Elementor Website Builder – More Than Just a Page Builder,elementor,10000000,90,4.5,Blocks+Classic,2026-03-25 6:41pm GMT,6.6,6.9.4,https://elementor.com/?utm_source=wp-plugins&utm_campaign=plugin-uri&utm_medium=wp-dash,https://github.com/elementor/elementor,official,https://wordpress.org/plugins/elementor/,56,1,9.9,Critical,2025-12-16,CWE-200; CWE-22; CWE-269; CWE-287; CWE-434; CWE-79; CWE-80; CWE-862; CWE-89,"drag-and-drop, editor, elementor, landing page, page builder"
2,Yoast SEO – Advanced SEO with real-time guidance and built-in AI,wordpress-seo,10000000,96,4.8,Blocks+Classic,2026-03-17 9:35am GMT,6.8,6.9.4,https://yoa.st/1uj,https://github.com/Yoast/wordpress-seo,official,https://wordpress.org/plugins/wordpress-seo/,30,0,6.4,Medium,2024-05-16,CWE-200; CWE-352; CWE-362; CWE-79; CWE-89,"Content analysis, Readability, schema, seo, xml sitemap"
3,Contact Form 7,contact-form-7,10000000,80,4.0,Editor-agnostic,2026-02-08 9:32am GMT,6.7,6.9.4,https://contactform7.com/,https://github.com/takayukister/contact-form-7,official,https://wordpress.org/plugins/contact-form-7/,12,0,6.6,Medium,2025-04-16,CWE-434; CWE-601; CWE-79,"contact form, schema-woven validation"
4,Classic Editor,classic-editor,9000000,98,4.9,Classic-only,2025-12-08 10:40am GMT,4.9,6.9.4,https://wordpress.org/plugins/classic-editor/,https://github.com/WordPress/classic-editor,official,https://wordpress.org/plugins/classic-editor/,0,0,,,,,"block-editor, classic editor, editor, gutenberg"
5,LiteSpeed Cache,litespeed-cache,7000000,96,4.8,Editor-agnostic,2026-03-17 6:19pm GMT,5.3,6.9.4,https://www.litespeedtech.com/products/cache-plugins/wordpress-acceleration,https://github.com/litespeedtech/lscache_wp,official,https://wordpress.org/plugins/litespeed-cache/,19,0,9.8,Critical,2025-10-29,CWE-23; CWE-266; CWE-352; CWE-522; CWE-79; CWE-862; CWE-918,"Optimize, caching, pagespeed, performance, seo"
6,WooCommerce,woocommerce,7000000,90,4.5,Blocks+Classic,2026-03-12 4:10pm GMT,6.8,6.9.4,https://woocommerce.com/,https://github.com/woocommerce/woocommerce,official,https://wordpress.org/plugins/woocommerce/,95,2,6.5,Medium,2025-12-22,CWE-116; CWE-22; CWE-284; CWE-352; CWE-639; CWE-74; CWE-79; CWE-80; CWE-863; CWE-89,"ecommerce, online store, sell online, shop, shopping cart"
7,Akismet Anti-spam: Spam Protection,akismet,6000000,94,4.7,Editor-agnostic,2025-11-12 4:31pm GMT,5.8,6.9.4,https://akismet.com/,https://github.com/Automattic/akismet,official,https://wordpress.org/plugins/akismet/,4,0,,,2019-08-28,CWE-79,"anti-spam, antispam, comments, contact form, spam"
8,"WPForms – Easy Form Builder for WordPress – Contact Forms, Payment Forms, Surveys, & More",wpforms-lite,6000000,96,4.8,Blocks+Classic,2026-03-19 12:20pm GMT,5.5,6.9.4,https://wpforms.com,https://github.com/awesomemotive/wpforms-lite,official,https://wordpress.org/plugins/wpforms-lite/,23,1,8.5,High,2026-01-13,CWE-352; CWE-472; CWE-79; CWE-862,"contact form, contact form plugin, custom form, form builder, forms"
9,"Site Kit by Google – Analytics, Search Console, AdSense, Speed",google-site-kit,5000000,84,4.2,Blocks+Classic,2026-03-23 9:44pm GMT,5.2,6.9.4,https://sitekit.withgoogle.com,https://github.com/google/site-kit-wp,official,https://wordpress.org/plugins/google-site-kit/,4,0,4.3,Medium,2023-07-07,CWE-252,"Search Console, adsense, analytics, google, pagespeed insights"
10,All-in-One WP Migration and Backup,all-in-one-wp-migration,5000000,90,4.5,Editor-agnostic,2026-03-16 12:02pm GMT,3.3,6.9.4,https://servmask.com/,https://github.com/wp-plugins/all-in-one-wp-migration,mirror,https://wordpress.org/plugins/all-in-one-wp-migration/,19,0,7.5,High,2025-03-13,CWE-200; CWE-22; CWE-434; CWE-502; CWE-79; CWE-94,"backup, clone, export-import, migrate, move wordpress"
11,"Wordfence Security – Firewall, Malware Scan, and Login Security",wordfence,5000000,94,4.7,Editor-agnostic,2025-12-20 9:06pm GMT,4.7,6.9.4,https://www.wordfence.com/,https://github.com/wp-plugins/wordfence,mirror,https://wordpress.org/plugins/wordfence/,34,0,4.4,Medium,2022-09-23,CWE-79,"2FA, firewall, malware, scanner, security"
12,WP Mail SMTP by WPForms – The Most Popular SMTP and Email Log Plugin,wp-mail-smtp,4000000,96,4.8,Editor-agnostic,2025-11-26 3:18pm GMT,5.5,6.9.4,https://wpmailsmtp.com/,https://github.com/awesomemotive/wp-mail-smtp,official,https://wordpress.org/plugins/wp-mail-smtp/,4,0,2.7,Low,2024-07-22,CWE-257,"email, email logs, gmail, outlook, smtp"
13,Yoast Duplicate Post,duplicate-post,4000000,94,4.7,Editor-agnostic,2026-03-09 10:34am GMT,6.8,6.9.4,https://yoast.com/wordpress/plugins/duplicate-post/,https://github.com/Yoast/duplicate-post,official,https://wordpress.org/plugins/duplicate-post/,8,1,6.4,Medium,2026-02-11,CWE-79; CWE-89,"clone, copy, duplicate post"
14,Really Simple Security – Simple and Performant Security (formerly Really Simple SSL),really-simple-ssl,3000000,98,4.9,Editor-agnostic,2026-02-26 10:57am GMT,6.6,6.9.4,https://really-simple-ssl.com,https://github.com/Really-Simple-Plugins/really-simple-ssl,official,https://wordpress.org/plugins/really-simple-ssl/,3,0,9.8,Critical,2025-01-24,CWE-288; CWE-352; CWE-918,"2FA, https, security, two factor, vulnerabilities"
