ts	avail_mib	progress
22:03:53	118011	
22:03:55	117743	
22:03:57	117753	
22:03:59	116335	
22:04:01	102083	
22:04:03	82986	
22:04:06	81928	
22:04:08	74831	
22:04:10	59987	
22:04:12	57762	
22:04:14	57479	
22:04:16	57126	
22:04:18	56788	
22:04:20	55908	
22:04:22	55586	
22:04:24	55751	
22:04:26	55648	
22:04:28	55668	
22:04:30	54829	
22:04:32	54966	
22:04:34	54073	
22:04:36	54194	
22:04:38	53611	
22:04:40	53275	
22:04:42	52937	
22:04:44	52539	
22:04:46	51668	
22:04:48	51827	
22:04:50	50999	
22:04:52	50943	
22:04:54	51392	
22:04:56	51251	
22:04:58	51258	
22:05:00	51402	
22:05:02	51514	
22:05:04	51136	
22:05:06	50761	
22:05:08	50380	
22:05:10	50005	
22:05:12	49658	
22:05:14	49295	
22:05:16	48914	
22:05:18	48535	
22:05:20	48143	
22:05:22	47768	
22:05:24	47401	
22:05:26	47026	
22:05:28	46653	
22:05:30	45806	
22:05:32	45929	
22:05:34	45053	
22:05:36	44684	
22:05:38	44298	
22:05:40	44415	
22:05:42	43569	
22:05:44	43223	
22:05:46	42865	
22:05:48	42988	
22:05:50	42615	
22:05:52	42213	
22:05:54	41883	
22:05:56	41543	
22:05:58	41189	
22:06:00	40784	
22:06:02	40395	
22:06:04	39951	
22:06:06	39599	
22:06:08	39221	
22:06:10	38822	
22:06:12	38422	
22:06:14	38032	
22:06:16	37164	
22:06:18	36787	
22:06:20	36393	
22:06:22	36494	
22:06:24	36103	
22:06:26	35746	
22:06:28	35367	
22:06:30	34944	
22:06:32	34571	
22:06:34	34152	
22:06:36	33769	
22:06:38	33399	
22:06:40	33014	
22:06:42	32104	
22:06:44	31656	
22:06:46	31255	
22:06:48	31333	
22:06:50	30971	
22:06:52	30082	
22:06:54	30101	
22:06:56	29802	
22:06:58	29183	
22:07:00	28547	
22:07:02	28378	
22:07:04	27984	
22:07:06	28105	
22:07:08	27730	
22:07:10	27346	
22:07:12	26943	
22:07:14	26544	
22:07:16	25660	
22:07:18	25741	
22:07:20	25364	
22:07:22	24304	
22:07:24	24432	
22:07:26	24026	
22:07:28	23650	
22:07:30	23280	
22:07:32	22907	
22:07:34	22503	
22:07:36	22366	
22:07:38	21515	
22:07:40	21255	
22:07:42	20748	
22:07:44	20552	
22:07:46	20474	
22:07:48	19653	
22:07:50	19734	
22:07:52	19333	
22:07:54	18894	
22:07:56	18041	
